entry_time,exit_time,entry_price,exit_price,qty_btc,pnl_usd,pnl_pct,exit_reason,ml_prob,ml_approved
2025-01-12,2025-01-12,94803.42,94903.42,1.054814,105.48,0.1055,red_brick,N/A,True
2025-01-14,2025-01-14,94903.42,94903.42,1.054814,0.0,0.0,red_brick,N/A,True
2025-01-21,2025-01-21,106203.42,106603.42,0.471291,188.52,0.3766,partial_profit,N/A,True
2025-01-21,2025-01-21,106203.42,106903.42,0.942582,329.9,0.6591,red_brick,N/A,True
2025-01-29,2025-01-29,102503.42,102196.44,0.981664,-301.35,-0.2995,stop_loss,N/A,True
2025-01-29,2025-01-29,102403.42,102803.42,0.48984,195.94,0.3906,partial_profit,N/A,True
2025-01-29,2025-01-29,102403.42,104103.42,0.97968,832.73,1.6601,red_brick,N/A,True
2025-02-07,2025-02-07,98903.42,99303.42,0.512375,204.95,0.4044,partial_profit,N/A,True
2025-02-07,2025-02-07,98903.42,98339.7,1.024749,-288.84,-0.57,stop_loss,N/A,True
2025-02-10,2025-02-10,97503.42,97603.42,1.038603,103.86,0.1026,red_brick,N/A,True
2025-02-12,2025-02-13,97703.42,97480.72,1.03754,-231.06,-0.2279,stop_loss,N/A,True
2025-02-14,2025-02-14,96903.42,97003.42,1.043721,104.37,0.1032,red_brick,N/A,True
2025-03-01,2025-03-01,84903.42,85303.42,0.596233,238.49,0.4711,partial_profit,N/A,True
2025-03-01,2025-03-01,84903.42,85203.42,1.192467,178.87,0.3533,red_brick,N/A,True
2025-03-05,2025-03-05,87803.42,88203.42,0.578917,231.57,0.4556,partial_profit,N/A,True
2025-03-05,2025-03-05,87803.42,90203.42,1.157835,1389.4,2.7334,red_brick,N/A,True
2025-03-14,2025-03-14,83103.42,83503.42,0.621411,248.56,0.4813,partial_profit,N/A,True
2025-03-14,2025-03-14,83103.42,84603.42,1.242823,932.12,1.805,red_brick,N/A,True
2025-03-19,2025-03-19,83603.42,84003.42,0.624756,249.9,0.4784,partial_profit,N/A,True
2025-03-19,2025-03-19,83603.42,84603.42,1.249512,624.76,1.1961,red_brick,N/A,True
2025-03-23,2025-03-23,84503.42,84903.42,0.623278,249.31,0.4734,partial_profit,N/A,True
2025-03-23,2025-03-23,84503.42,84903.42,1.246555,249.31,0.4734,red_brick,N/A,True
2025-03-27,2025-03-27,87403.42,87503.42,1.2109,121.09,0.1144,red_brick,N/A,True
2025-04-01,2025-04-01,83503.42,83903.42,0.634452,253.78,0.479,partial_profit,N/A,True
2025-04-01,2025-04-01,83503.42,84203.42,1.268905,444.12,0.8383,red_brick,N/A,True
2025-04-04,2025-04-04,84103.42,83860.21,1.26815,-308.43,-0.2892,stop_loss,N/A,True
2025-04-09,2025-04-09,81903.42,82303.42,0.649224,259.69,0.4884,partial_profit,N/A,True
2025-04-09,2025-04-09,81903.42,83103.42,1.298448,779.07,1.4651,red_brick,N/A,True
2025-04-21,2025-04-21,85203.42,85603.42,0.630175,252.07,0.4695,partial_profit,N/A,True
2025-04-21,2025-04-21,85203.42,87203.42,1.26035,1260.35,2.3473,red_brick,N/A,True
2025-04-28,2025-04-28,94803.42,95203.42,0.574339,229.74,0.4219,partial_profit,N/A,True
2025-04-28,2025-04-28,94803.42,94000.96,1.148677,-460.88,-0.8464,stop_loss,N/A,True
2025-05-01,2025-05-01,94903.42,95003.42,1.145031,114.5,0.1054,red_brick,N/A,True
2025-05-06,2025-05-06,96303.42,96703.42,0.564787,225.91,0.4154,partial_profit,N/A,True
2025-05-06,2025-05-07,96303.42,97303.42,1.129575,564.79,1.0384,red_brick,N/A,True
2025-05-13,2025-05-13,103803.42,104203.42,0.527789,211.12,0.3853,partial_profit,N/A,True
2025-05-13,2025-05-13,103803.42,104703.42,1.055578,475.01,0.867,red_brick,N/A,True
2025-05-16,2025-05-16,103803.42,104203.42,0.531094,212.44,0.3853,partial_profit,N/A,True
2025-05-16,2025-05-16,103803.42,104103.42,1.062188,159.33,0.289,red_brick,N/A,True
2025-05-18,2025-05-18,103603.42,104003.42,0.533913,213.57,0.3861,partial_profit,N/A,True
2025-05-18,2025-05-18,103603.42,105703.42,1.067827,1121.22,2.027,red_brick,N/A,True
2025-05-19,2025-05-19,104903.42,105303.42,0.533659,213.46,0.3813,partial_profit,N/A,True
2025-05-19,2025-05-19,104903.42,105203.42,1.067318,160.1,0.286,red_brick,N/A,True
2025-05-26,2025-05-26,109603.42,110003.42,0.512479,204.99,0.365,partial_profit,N/A,True
2025-05-26,2025-05-26,109603.42,110003.42,1.024957,204.99,0.365,red_brick,N/A,True
2025-06-01,2025-06-02,105603.42,105503.42,1.067662,-106.77,-0.0947,red_brick,N/A,True
2025-06-02,2025-06-03,105803.42,106203.42,0.532318,212.93,0.3781,partial_profit,N/A,True
2025-06-02,2025-06-03,105803.42,106403.42,1.064635,319.39,0.5671,red_brick,N/A,True
2025-06-16,2025-06-16,106003.42,106403.42,0.533824,213.53,0.3773,partial_profit,N/A,True
2025-06-16,2025-06-16,106003.42,107103.42,1.067648,587.21,1.0377,red_brick,N/A,True
2025-06-23,2025-06-23,103903.42,104303.42,0.548467,219.39,0.385,partial_profit,N/A,True
2025-06-23,2025-06-23,103903.42,105503.42,1.096933,877.55,1.5399,red_brick,N/A,True
2025-07-02,2025-07-02,107603.42,108003.42,0.534704,213.88,0.3717,partial_profit,N/A,True
2025-07-02,2025-07-02,107603.42,109303.42,1.069409,909.0,1.5799,red_brick,N/A,True
2025-07-08,2025-07-08,109003.42,108394.88,1.065975,-648.69,-0.5583,stop_loss,N/A,True
2025-07-16,2025-07-16,118803.42,119203.42,0.486292,194.52,0.3367,partial_profit,N/A,True
